VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice,Occupation,Address,InjurySeverity,RelationshipToAccused,VictimProfileID,IsRepeatVictim
26,2453,Mohammed Kar,45,M,0,Business Owner,"003, Bora Chowk, Ramanagara, Karnataka",None,Known,,False
27,2775,Triya Hayer,9,F,0,Student,"63
Ahluwalia Street, Uttara Kannada, Karnataka",Severe,Known,,False
28,2181,Unnati Kanda,33,F,0,Farmer,"87/083, Shan Zila, Uttara Kannada, Karnataka",Moderate,Known,,False
29,2896,Vincent Wali,35,M,0,Daily Wage Labourer,"98
Sehgal Marg, Uttara Kannada, Karnataka",Fatal,Stranger,,False
30,2257,Vyanjana Sengupta,93,F,0,Farmer,"487
Maharaj Ganj, Belagavi, Karnataka",None,Known,,False
31,211,Balvan Mangal,28,M,0,Retired,"H.No. 55, Buch Circle, Uttara Kannada, Karnataka",None,Known,,False
32,211,Forum Kashyap,24,F,0,Retired,"23/166
Shukla Path, Uttara Kannada, Karnataka",None,Stranger,,False
33,585,Bhavani Jhaveri,39,F,0,Government Employee,"90
Rai, Chikballapur, Karnataka",None,Known,,False
34,4822,Aarini Pandey,27,F,0,Domestic Worker,"68
Kannan Circle, Kolar, Karnataka",Moderate,Stranger,,False
35,4822,Imaran Mahajan,32,M,0,Student,"06
Ravel Path, Kolar, Karnataka",Severe,Stranger,,False
36,4822,Vivaan Datta,11,M,0,Student,"99, Chacko Nagar, Kolar, Karnataka",Minor,Stranger,,False
37,3638,Ekansh Shenoy,71,M,0,Retired,"H.No. 465, Sha Ganj, Tumakuru, Karnataka",None,Stranger,,False
38,3638,Om Raghavan,78,M,0,Retired,"41
Bahl Chowk, Tumakuru, Karnataka",None,Stranger,,False
39,3795,Pushti Kapur,8,F,0,Student,"00/330, Dua, Belagavi, Karnataka",Severe,Stranger,,False
40,3795,Jonathan Solanki,2,T,0,Student,"37/45, Contractor Street, Belagavi, Karnataka",Moderate,Known,,False
41,4699,Nachiket Chokshi,85,M,0,Homemaker,"H.No. 96, Issac Marg, Dharwad, Karnataka",None,Known,,False
42,4258,Jairaj Chaudry,37,M,0,Auto Driver,"91/905
Sangha Circle, Chitradurga, Karnataka",Moderate,Known,,False
43,4258,Bakhshi Toor,39,M,0,Unemployed,"H.No. 671
Pathak Marg, Chitradurga, Karnataka",Moderate,Known,,False
44,4258,Faraj Saran,26,M,0,Shopkeeper,"84/987, Sarin Chowk, Chitradurga, Karnataka",Moderate,Stranger,,False
45,4258,Neel Korpal,25,M,0,Auto Driver,"H.No. 73, Raghavan Chowk, Chitradurga, Karnataka",Moderate,Known,,False
46,3759,Amrita Talwar,21,F,0,Student,"735
Oak Road, Uttara Kannada, Karnataka",Moderate,Stranger,,False
47,3759,Manya Anne,35,F,0,Daily Wage Labourer,"H.No. 367, Khosla Circle, Uttara Kannada, Karnataka",Severe,Known,,False
48,4351,Yatan Sem,39,M,0,Domestic Worker,"H.No. 436, Mohan Ganj, Mandya, Karnataka",None,Stranger,,False
49,4397,Vritti Wali,30,F,0,Farmer,"85
Setty Path, Belagavi, Karnataka",None,Known,,False
50,189,Niharika Krishnamurthy,21,F,0,Business Owner,"H.No. 351, Goyal Circle, Kodagu, Karnataka",Severe,Stranger,,False
51,4923,Janaki Sule,2,F,0,Student,"98/941
Minhas Ganj, Bengaluru Urban, Karnataka",Severe,Known,,False
52,806,Radha Gola,90,F,0,Farmer,"H.No. 824
Bhagat Nagar, Haveri, Karnataka",None,Known,,False
53,4125,Edhitha Swaminathan,67,F,0,Farmer,"H.No. 947, Sastry Chowk, Uttara Kannada, Karnataka",Moderate,Stranger,,False
54,4183,George Behl,90,M,0,Farmer,"11
Swamy Marg, Ramanagara, Karnataka",None,Stranger,,False
55,4777,Avi Doshi,46,M,0,Retired,"41/31, Saha Circle, Kalaburagi, Karnataka",Minor,Known,,False
56,1246,Ranveer Seshadri,34,M,0,Self-Employed,"H.No. 96
Bhasin Road, Kolar, Karnataka",None,Stranger,,False
57,3190,Hemang Kakar,3,M,0,Student,"12/328
Dugar Zila, Dakshina Kannada, Karnataka",Minor,Stranger,,False
58,369,Tara Seshadri,77,F,0,Homemaker,"H.No. 03
Mandal Road, Dakshina Kannada, Karnataka",None,Known,,False
59,3925,Bimala Kaur,1,F,0,Student,"93/618
Dixit Ganj, Chikballapur, Karnataka",Moderate,Known,,False
60,253,Ekta Bora,31,F,0,Unemployed,"499, Sarna Road, Mysuru, Karnataka",None,Stranger,,False
61,1649,Vivaan Modi,46,M,0,Business Owner,"H.No. 88
Sarma Chowk, Haveri, Karnataka",None,Stranger,,False
62,3375,Anmol Sankaran,35,M,0,Daily Wage Labourer,"40/13
Bail, Dharwad, Karnataka",Minor,Stranger,,False
63,3375,Anmol Gill,41,M,0,Business Owner,"74/29
Swamy Marg, Dharwad, Karnataka",Minor,Known,,False
64,3375,Vrinda Pall,41,F,0,Private Employee,"H.No. 51
Narayan Street, Belagavi, Karnataka",Moderate,Known,,False
65,4339,Yug Mani,17,M,0,Student,"07/15
Naik Road, Chitradurga, Karnataka",Minor,Stranger,,False
66,4339,Saksham Varkey,27,M,0,Self-Employed,"87/603, Pathak Circle, Chitradurga, Karnataka",Fatal,Known,,False
67,4339,Vaishnavi Behl,42,F,0,Auto Driver,"H.No. 82, Sarma Road, Chitradurga, Karnataka",Severe,Known,,False
68,3623,Divya Balakrishnan,86,F,0,Retired,"24/808, Chander Marg, Chikkamagaluru, Karnataka",None,Stranger,,False
69,4854,Deepa Shenoy,40,F,0,Shopkeeper,"27/484, Subramanian Marg, Davanagere, Karnataka",Minor,Known,,False
70,1365,Jairaj Shan,34,M,0,Business Owner,"39, Deshpande Circle, Uttara Kannada, Karnataka",None,Stranger,,False
71,404,Manya Sachdeva,19,F,0,Retired,"40/44
Suri, Tumakuru, Karnataka",Severe,Stranger,,False
72,404,Vansha Yohannan,16,F,0,Student,"H.No. 58
Purohit Circle, Tumakuru, Karnataka",Severe,Stranger,,False
73,3147,Naveen Gulati,36,M,0,Private Employee,"63/60, Solanki Path, Haveri, Karnataka",None,Stranger,,False
74,3740,Sanya Doshi,67,F,0,Farmer,"H.No. 289
Chaudhry Path, Gadag, Karnataka",Minor,Stranger,,False
75,3894,Chandresh Vora,4,M,0,Student,"H.No. 262
Singh Zila, Kalaburagi, Karnataka",Minor,Stranger,,False
76,3953,Pallavi Rao,16,F,0,Student,"H.No. 86, Sura Path, Ballari, Karnataka",Severe,Stranger,,False
77,3953,Bhavya Keer,24,F,0,Unemployed,"161
Sawhney Zila, Ballari, Karnataka",Severe,Stranger,,False
78,1125,Netra Balakrishnan,43,F,0,Farmer,"H.No. 04, Prasad Path, Haveri, Karnataka",Minor,Known,,False
79,107,Eta Konda,20,F,0,Retired,"22/21
Raja, Hassan, Karnataka",Moderate,Known,,False
80,241,Yadavi Dhar,40,F,0,Farmer,"47, Andra Road, Bagalkot, Karnataka",Fatal,Known,,False
81,2475,Mitali Dugar,53,F,0,Self-Employed,"59, Samra Road, Chikballapur, Karnataka",None,Stranger,,False
82,2475,Vedant Mittal,64,M,0,Farmer,"71, Raj Ganj, Chikballapur, Karnataka",None,Stranger,,False
83,4390,Neelima Merchant,18,F,0,Private Employee,"64/090, Taneja, Bengaluru Urban, Karnataka",None,Known,,False
84,1221,Jyoti Pandey,17,F,0,Student,"39/421, More Nagar, Gadag, Karnataka",Moderate,Known,,False
85,1221,Anay Patla,11,M,0,Student,"H.No. 456, Iyer Street, Gadag, Karnataka",Minor,Known,,False
86,1769,Qadim Wali,41,M,0,Domestic Worker,"474
Contractor Path, Haveri, Karnataka",Minor,Known,,False
87,1769,Baljiwan Dhaliwal,59,M,0,Farmer,"68/516, Lalla Nagar, Haveri, Karnataka",Moderate,Stranger,,False
88,4659,Ridhi Edwin,62,F,0,Auto Driver,"54, Raj, Tumakuru, Karnataka",None,Stranger,VP00042,True
89,1910,Darika Kaur,44,F,0,Business Owner,"H.No. 985
Kant, Bagalkot, Karnataka",None,Stranger,,False
90,890,Vedika Mittal,14,F,0,Student,"H.No. 200
Tailor Road, Bengaluru Urban, Karnataka",Severe,Stranger,,False
91,1212,Chasmum Keer,22,F,0,Homemaker,"75, Saini Circle, Kolar, Karnataka",None,Known,,False
92,1908,Sarthak Chaudhary,66,M,0,Homemaker,"64/05
Sawhney Ganj, Udupi, Karnataka",None,Known,,False
93,580,Kamya Patil,31,F,0,Homemaker,"58/506, Gupta Road, Kalaburagi, Karnataka",Moderate,Known,,False
94,1,Utkarsh Chand,38,M,1,Government Employee,"90/053, Jha Street, Shivamogga, Karnataka",None,Stranger,,False
95,1,Hemang Kalita,33,M,0,Self-Employed,"H.No. 29, Malhotra Nagar, Shivamogga, Karnataka",None,Stranger,,False
96,4750,Bhavika Rajan,50,F,0,Student,"842, Bal Zila, Mysuru, Karnataka",Minor,Stranger,VP00034,True
97,4644,Abhimanyu Parmar,54,M,0,Student,"50/24, Date Nagar, Bagalkot, Karnataka",None,Stranger,,False
98,2189,Dakshesh Bhatt,2,M,0,Student,"58
Chopra, Davanagere, Karnataka",Moderate,Known,,False
99,2221,Yashasvi Kant,38,F,0,Unemployed,"84/700, Ratti Chowk, Belagavi, Karnataka",None,Known,,False
100,835,Darika Swaminathan,36,F,0,Retired,"H.No. 159
Bhatti Street, Chamarajanagar, Karnataka",None,Stranger,,False
101,400,Mahika Nair,7,F,0,Student,"84/78
Sani, Dakshina Kannada, Karnataka",Severe,Known,,False
102,2631,Dakshesh Kale,30,M,0,Business Owner,"36
Setty Path, Chitradurga, Karnataka",Fatal,Stranger,,False
103,2631,Sarthak Chandran,37,M,0,Private Employee,"54
Dua Path, Chitradurga, Karnataka",Moderate,Known,,False
104,2631,Bhavna Chand,17,F,0,Student,"H.No. 615, Bhasin Street, Chitradurga, Karnataka",Severe,Stranger,,False
105,125,Darsh Roy,33,M,0,Shopkeeper,"60/494
Chawla Path, Mandya, Karnataka",Moderate,Known,,False
106,3884,Faras Subramaniam,25,M,0,Domestic Worker,"H.No. 585, Mallick Zila, Chitradurga, Karnataka",None,Stranger,,False
107,4432,Tanish Bal,52,M,0,Business Owner,"H.No. 244
Panchal Path, Mysuru, Karnataka",Minor,Known,,False
108,3654,Gautam Dhar,29,M,0,Unemployed,"H.No. 201
Kale Circle, Uttara Kannada, Karnataka",None,Stranger,,False
109,2312,Shaurya Setty,49,M,0,Private Employee,"545
Chad, Bengaluru Rural, Karnataka",None,Stranger,,False
110,1144,Faras Dugar,57,M,0,Homemaker,"14/767, Sathe, Kalaburagi, Karnataka",None,Stranger,,False
111,4288,Madhavi Kale,41,F,0,Private Employee,"H.No. 61, Sur Road, Haveri, Karnataka",None,Known,,False
112,1748,Aradhana Kannan,10,F,0,Student,"00/34
Devan Ganj, Ramanagara, Karnataka",Severe,Stranger,,False
113,1748,Maanav Narang,41,M,0,Auto Driver,"H.No. 762, Rai Street, Ramanagara, Karnataka",Minor,Stranger,,False
114,1315,Zashil Pandya,39,M,0,Auto Driver,"06, Sharaf Nagar, Chitradurga, Karnataka",Moderate,Known,,False
115,1315,Naksh Sanghvi,54,M,0,Self-Employed,"64/160
Garg Path, Shivamogga, Karnataka",Moderate,Stranger,,False
116,1315,Pratyush Chakrabarti,37,M,0,Private Employee,"H.No. 369
Viswanathan Marg, Shivamogga, Karnataka",Minor,Known,,False
117,1742,Siya Mukherjee,28,F,0,Shopkeeper,"521
Comar Circle, Dharwad, Karnataka",Severe,Known,,False
118,358,Priya Panchal,23,F,0,Student,"124, Ghose Ganj, Udupi, Karnataka",None,Known,,False
119,4408,Bishakha Goel,36,F,0,Retired,"99
Naidu Chowk, Tumakuru, Karnataka",Minor,Known,,False
120,1161,Forum Sarraf,65,F,0,Homemaker,"74, Bhalla Road, Chamarajanagar, Karnataka",None,Stranger,,False
121,1188,Yashica Borah,74,F,0,Retired,"70
Pillay Nagar, Uttara Kannada, Karnataka",None,Known,,False
122,313,Balvan Chana,55,M,0,Domestic Worker,"98
Sengupta Nagar, Ballari, Karnataka",None,Stranger,,False
123,765,Naveen Soni,43,M,0,Auto Driver,"H.No. 715, Thaman Zila, Kalaburagi, Karnataka",None,Known,,False
124,1465,Anusha Kota,43,F,0,Self-Employed,"88
Dutt, Chikkamagaluru, Karnataka",None,Stranger,,False
125,1465,Ria Mandal,41,F,0,Private Employee,"59
Natt Nagar, Chikkamagaluru, Karnataka",None,Stranger,,False
126,2552,Nitesh Chandra,25,M,0,Shopkeeper,"H.No. 49
Nath Street, Davanagere, Karnataka",Moderate,Stranger,,False
127,2552,Ekavir Palla,24,M,0,Unemployed,"62/914
Puri Circle, Davanagere, Karnataka",Minor,Stranger,,False
128,2552,Devansh Vyas,60,M,0,Farmer,"68/505, Gole Road, Davanagere, Karnataka",Severe,Known,,False
129,2419,Zehaan Cherian,48,M,0,Government Employee,"H.No. 73, Devan Ganj, Hassan, Karnataka",None,Known,VP00040,True
130,4879,Brinda Merchant,58,F,0,Private Employee,"88/05, Deep, Chamarajanagar, Karnataka",None,Known,,False
131,4431,Ganga Gaba,32,F,0,Business Owner,"92/706, Khanna Path, Bagalkot, Karnataka",None,Known,,False
132,4237,Lucky Sen,41,M,0,Domestic Worker,"34/73, Sastry Path, Davanagere, Karnataka",None,Known,,False
133,2262,Megha Raja,38,F,0,Daily Wage Labourer,"392
Ben Road, Bengaluru Urban, Karnataka",None,Stranger,,False
134,2262,Quincy Chauhan,55,M,0,Retired,"H.No. 12, Sengupta Road, Bengaluru Urban, Karnataka",Moderate,Known,,False
135,2262,Tejas Chand,24,M,0,Farmer,"50, Bera Marg, Bengaluru Urban, Karnataka",Moderate,Stranger,,False
136,2654,Yashasvi Prakash,23,F,0,Self-Employed,"15, Bala Ganj, Shivamogga, Karnataka",None,Stranger,,False
137,3493,Chavvi Nayak,43,F,0,Domestic Worker,"047, Singh Street, Bidar, Karnataka",None,Stranger,,False
138,3888,Aahana Buch,79,F,0,Retired,"H.No. 32, Wable Circle, Koppal, Karnataka",None,Known,,False
139,1774,Christopher Mani,32,M,0,Student,"H.No. 10, Saini Ganj, Mysuru, Karnataka",Minor,Known,,False
140,1925,Bhavika Choudhry,52,F,0,Daily Wage Labourer,"80/89
Dhawan Ganj, Belagavi, Karnataka",Moderate,Stranger,,False
141,1925,Chaaya Chada,18,F,0,Auto Driver,"09
Khosla Path, Tumakuru, Karnataka",Moderate,Known,VP00046,True
142,1925,Girik Chada,46,M,0,Domestic Worker,"H.No. 888
Bahri Circle, Yadgir, Karnataka",Moderate,Known,,False
143,3087,Wahab Bassi,23,M,0,Shopkeeper,"H.No. 40
Bir Path, Chitradurga, Karnataka",None,Stranger,,False
144,600,Jai Chawla,50,M,0,Shopkeeper,"058
Gill Path, Vijayanagara, Karnataka",None,Stranger,,False
145,600,Wriddhish Gopal,24,M,0,Private Employee,"H.No. 704, Bassi Ganj, Vijayanagara, Karnataka",Moderate,Known,,False
146,4178,Ansh Mutti,9,M,0,Student,"68/74
Halder Nagar, Raichur, Karnataka",Minor,Known,,False
147,4178,Pranav Batta,10,M,0,Student,"H.No. 15
Ratta Marg, Raichur, Karnataka",None,Stranger,,False
148,502,Reyansh Nori,38,M,0,Self-Employed,"75, Loke Circle, Gadag, Karnataka",Minor,Stranger,,False
149,2591,Unnati Brar,78,F,0,Retired,"28/45
Buch Zila, Belagavi, Karnataka",Moderate,Known,,False
150,2013,Manbir Mohan,74,M,0,Farmer,"62/75
Basak Chowk, Chamarajanagar, Karnataka",None,Stranger,,False
151,4890,Teerth Maharaj,19,M,0,Private Employee,"H.No. 658, Balasubramanian Street, Ballari, Karnataka",Minor,Stranger,,False
152,4890,Theodore Banerjee,54,M,0,Business Owner,"H.No. 355, Bali Marg, Ballari, Karnataka",Minor,Known,,False
153,4890,Umang Prabhakar,52,M,0,Homemaker,"19
Wagle Street, Ballari, Karnataka",Moderate,Stranger,,False
154,4890,Rushil Murthy,49,M,0,Shopkeeper,"102
Vasa Chowk, Ballari, Karnataka",Moderate,Known,,False
155,2103,Daniel Lala,53,M,0,Private Employee,"73/947
Das Ganj, Uttara Kannada, Karnataka",None,Stranger,,False
156,1733,Balhaar Seth,21,M,0,Government Employee,"71/551, Mannan Circle, Mysuru, Karnataka",Minor,Stranger,,False
157,84,Gaurangi Ghosh,38,F,0,Business Owner,"31/32
Tak Ganj, Vijayapura, Karnataka",Severe,Stranger,,False
158,4078,Jalsa Pillay,25,T,0,Domestic Worker,"29/11
Rao Road, Ballari, Karnataka",None,Stranger,,False
159,2846,Samesh Rout,58,M,0,Shopkeeper,"517, Varughese Chowk, Chikkamagaluru, Karnataka",None,Known,,False
160,4897,Eesha Gopal,44,F,0,Daily Wage Labourer,"80, Vasa Zila, Ramanagara, Karnataka",Severe,Known,,False
161,4535,Max Gala,47,M,0,Shopkeeper,"H.No. 35, Mander Circle, Chamarajanagar, Karnataka",Severe,Stranger,,False
162,4535,Jeremiah Hegde,46,M,0,Homemaker,"498
Thakkar Zila, Chamarajanagar, Karnataka",Moderate,Known,,False
163,4535,Faraj Garg,47,M,0,Farmer,"00/10
Lanka, Chamarajanagar, Karnataka",Minor,Stranger,,False
164,2293,Sathvik Balasubramanian,69,M,0,Farmer,"84/473
Mishra Marg, Bengaluru Urban, Karnataka",Fatal,Stranger,,False
165,3118,Bina Bhasin,61,F,0,Retired,"67, Jani Chowk, Vijayapura, Karnataka",None,Known,,False
166,1428,Eshana Munshi,50,F,0,Homemaker,"56/258
Cherian Circle, Bengaluru Urban, Karnataka",None,Known,,False
167,1766,Kavya Shukla,39,F,0,Business Owner,"H.No. 73, Chatterjee Street, Shivamogga, Karnataka",None,Stranger,,False
168,4776,Maanav Rajagopalan,11,M,0,Student,"259
Gupta Path, Bengaluru Urban, Karnataka",Moderate,Stranger,,False
169,2282,Zaid Varma,45,M,0,Private Employee,"47
Chana Nagar, Bidar, Karnataka",None,Known,,False
170,2382,Zayyan Shankar,26,M,0,Shopkeeper,"950, Manda Nagar, Uttara Kannada, Karnataka",Moderate,Known,,False
171,2382,Wahab Mangal,35,M,0,Retired,"H.No. 624, Rau Path, Ballari, Karnataka",Moderate,Stranger,,False
172,2382,Arin Rattan,47,M,0,Unemployed,"83/58, Borah Road, Uttara Kannada, Karnataka",Moderate,Stranger,,False
173,4502,Yashawini Seshadri,33,F,0,Domestic Worker,"91/21
Prakash Marg, Hassan, Karnataka",Severe,Known,,False
174,461,Qadim Dhawan,42,M,0,Domestic Worker,"86/80, Barad Nagar, Vijayanagara, Karnataka",Moderate,Stranger,,False
175,4548,Osha Som,35,F,0,Daily Wage Labourer,"982
Nagar Path, Udupi, Karnataka",None,Known,,False
176,4797,Ronith Mistry,70,M,0,Homemaker,"88/79
Soman Road, Davanagere, Karnataka",None,Stranger,,False
177,4638,Qarin Narula,64,M,0,Farmer,"94, Som Nagar, Bengaluru Urban, Karnataka",None,Stranger,,False
178,1702,Ishaan Behl,26,M,0,Self-Employed,"896
Kibe Street, Dakshina Kannada, Karnataka",None,Known,,False
179,3304,Christopher Halder,79,M,0,Homemaker,"56, Sachar Street, Davanagere, Karnataka",Minor,Stranger,,False
180,1892,Samesh Thaker,55,M,0,Business Owner,"02/838
Sridhar Path, Hassan, Karnataka",None,Known,,False
181,4815,Nirja Ghose,8,F,0,Student,"58/54
Sule, Mandya, Karnataka",None,Known,,False
182,3690,Jatin Mallick,24,M,0,Daily Wage Labourer,"443
Nadig Chowk, Chikballapur, Karnataka",Minor,Stranger,,False
183,3690,Owen Mahal,50,M,0,Shopkeeper,"H.No. 986
Pai Marg, Chikballapur, Karnataka",Moderate,Stranger,,False
184,2765,Mohini Basak,33,F,0,Farmer,"15/747
Jaggi Ganj, Chikkamagaluru, Karnataka",None,Known,,False
185,3093,Laban Devan,70,M,0,Homemaker,"93/30, Kara Circle, Bagalkot, Karnataka",Moderate,Known,,False
186,4856,Atharv Chaudhry,50,M,0,Self-Employed,"H.No. 71
Ahluwalia Street, Bengaluru Urban, Karnataka",None,Known,,False
187,4856,Samar Soni,53,M,0,Self-Employed,"34/540
Kata Zila, Bengaluru Urban, Karnataka",None,Stranger,,False
188,833,Harita Sahni,49,F,0,Student,"H.No. 672, Barad Road, Vijayanagara, Karnataka",Minor,Known,,False
189,1528,Neha Chhabra,16,F,0,Student,"H.No. 78
Tak Circle, Dakshina Kannada, Karnataka",Severe,Stranger,,False
190,4950,Yashawini Sidhu,50,F,0,Retired,"152
Kurian Chowk, Raichur, Karnataka",None,Known,,False
191,717,Abhimanyu Nazareth,28,M,0,Daily Wage Labourer,"32/96
Varma Marg, Ramanagara, Karnataka",Severe,Known,,False
192,717,Chameli Rattan,16,F,0,Student,"275, Ahuja Ganj, Ramanagara, Karnataka",Moderate,Stranger,,False
193,3141,Sanaya Keer,18,F,0,Farmer,"H.No. 54
Apte, Chikkamagaluru, Karnataka",Severe,Stranger,,False
194,3141,Radha Keer,49,F,0,Government Employee,"17/426, Mukhopadhyay Circle, Chikkamagaluru, Karnataka",Severe,Known,,False
195,1833,Manbir Pillai,29,M,0,Homemaker,"272, Prakash Chowk, Mysuru, Karnataka",Moderate,Stranger,,False
196,2231,Warinder Yogi,41,M,0,Daily Wage Labourer,"918, Wable Chowk, Koppal, Karnataka",None,Known,,False
197,1273,Balvan Choudhury,38,M,0,Student,"83/98, Gala Street, Gadag, Karnataka",Minor,Known,,False
198,1273,Timothy Dada,37,M,0,Auto Driver,"97/187, Setty Nagar, Gadag, Karnataka",Moderate,Known,,False
199,1273,Yashvi Sagar,33,F,0,Auto Driver,"08/74
Randhawa Nagar, Gadag, Karnataka",Severe,Known,,False
200,3990,Aarav Kamdar,63,M,0,Homemaker,"H.No. 651, Bhasin Circle, Bengaluru Urban, Karnataka",None,Known,,False
201,3990,Warinder Balay,40,M,0,Private Employee,"22
Prasad Marg, Bengaluru Urban, Karnataka",None,Known,,False
202,2500,Udarsh Purohit,56,M,0,Government Employee,"H.No. 825
Gokhale Zila, Chikkamagaluru, Karnataka",None,Stranger,,False
203,2500,Devansh Kapoor,54,M,0,Business Owner,"H.No. 478, Wali Marg, Chikkamagaluru, Karnataka",None,Stranger,,False
204,3849,Ishwar Kota,25,M,0,Auto Driver,"H.No. 24
Chowdhury Ganj, Udupi, Karnataka",None,Stranger,,False
205,3204,Shaurya Babu,75,M,0,Retired,"119, Sekhon Nagar, Yadgir, Karnataka",None,Known,,False
206,1552,Jason Basu,53,M,0,Retired,"38
Bhalla Ganj, Chikballapur, Karnataka",Minor,Stranger,,False
207,3569,Yashasvi Mann,10,F,0,Student,"95/995, Mittal Ganj, Gadag, Karnataka",Minor,Known,,False
208,3569,Yoshita Kant,17,F,0,Student,"H.No. 40
Gill Circle, Chikkamagaluru, Karnataka",None,Stranger,,False
209,356,Yug Batta,31,M,0,Farmer,"68/566
Mital Street, Belagavi, Karnataka",None,Stranger,,False
210,1099,Hiral Yogi,8,F,0,Student,"342
Bhardwaj Chowk, Belagavi, Karnataka",None,Known,,False
211,1099,Sathvik Wagle,16,M,0,Student,"34, Narayanan Ganj, Belagavi, Karnataka",None,Known,,False
212,1032,Umang Prabhakar,68,M,0,Retired,"30/46, Baral, Tumakuru, Karnataka",None,Stranger,,False
213,2657,Girindra Kalla,37,M,0,Farmer,"540
Gupta Ganj, Mysuru, Karnataka",Minor,Stranger,,False
214,2905,Wriddhish Kibe,86,M,0,Homemaker,"38, Mandal Path, Belagavi, Karnataka",None,Known,,False
215,799,Viraj Walla,32,M,0,Farmer,"H.No. 45
Tank Circle, Tumakuru, Karnataka",Severe,Stranger,,False
216,466,Chandran Singh,38,M,0,Student,"556
Kant Nagar, Bengaluru Rural, Karnataka",Minor,Known,,False
217,921,Adweta Lal,61,F,0,Homemaker,"H.No. 23
Karpe Path, Bengaluru Urban, Karnataka",None,Known,,False
218,3949,Krisha Tata,8,F,0,Student,"H.No. 77
Ganguly Chowk, Uttara Kannada, Karnataka",Minor,Known,,False
219,3949,Nisha Rattan,43,F,0,Student,"287
Bhargava Street, Davanagere, Karnataka",Minor,Known,VP00025,True
220,328,Bishakha Bava,75,F,0,Homemaker,"23, Dora Zila, Ramanagara, Karnataka",Severe,Stranger,,False
221,4073,Ikbal Tiwari,16,M,0,Student,"H.No. 09
Subramanian, Ballari, Karnataka",Severe,Stranger,,False
222,4073,Abhiram Ahuja,12,M,0,Student,"H.No. 084
Mangat Circle, Ballari, Karnataka",Minor,Known,,False
223,2255,Zayan Sani,39,M,0,Student,"H.No. 182, Handa Ganj, Ballari, Karnataka",Moderate,Stranger,,False
