AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID,Occupation,Address,CriminalProfileID,GangID,IsRepeatOffender
19,1795,Samar Sunder,65,M,A1,Contractor,"H.No. 343
Gola Path, Chamarajanagar, Karnataka",CP00073,,True
20,1795,Timothy Thaman,61,M,A2,Auto Driver,"H.No. 824
Bhagat Nagar, Uttara Kannada, Karnataka",CP00152,GNG0001,True
21,1795,Dev Swaminathan,19,M,A3,Government Employee,"H.No. 947, Sastry Chowk, Chamarajanagar, Karnataka",,,False
22,3633,George Behl,36,M,A1,Self-Employed,"11
Swamy Marg, Kolar, Karnataka",,,False
23,3633,Avi Doshi,26,M,A2,Self-Employed,"41/31, Saha Circle, Kolar, Karnataka",,,False
24,3338,Bakhshi Walia,31,M,A1,Farmer,"67/74, Sanghvi, Bagalkot, Karnataka",CP00047,,True
25,2324,Jagdish Bhardwaj,64,M,A1,Unskilled Worker,"90/91
Kakar Ganj, Chitradurga, Karnataka",CP00045,,True
26,4106,Banjeet Dugar,54,M,A1,Student,"812, Rege Nagar, Bidar, Karnataka",,,False
27,4454,Peter Sampath,37,M,A1,Security Guard,"97/403
Mandal Road, Chikkamagaluru, Karnataka",CP00063,,True
28,3989,Bimala Kaur,52,F,A1,Unemployed,"93/618
Dixit Ganj, Chikkamagaluru, Karnataka",,,False
29,3989,Ekavir Bora,48,M,A2,Daily Wage Labourer,"499, Sarna Road, Chikkamagaluru, Karnataka",,,False
30,2133,Vivaan Modi,67,M,A1,Government Employee,"H.No. 88
Sarma Chowk, Hassan, Karnataka",,,False
31,2133,Shivansh Raghavan,22,M,A2,Shopkeeper,"06/59, Bal Road, Kalaburagi, Karnataka",CP00134,GNG0006,True
32,2133,Balveer Chada,42,M,A3,Unskilled Worker,"990, Baria Road, Hassan, Karnataka",CP00046,,True
33,2133,Vrinda Venkataraman,48,F,A4,Shopkeeper,"H.No. 29
Swamy Marg, Hassan, Karnataka",,,False
34,961,Wahab Pall,36,M,A1,Construction Worker,"H.No. 51
Narayan Street, Belagavi, Karnataka",,,False
35,188,Yug Mani,70,M,A1,Self-Employed,"07/15
Naik Road, Ballari, Karnataka",,,False
36,3562,Saksham Varkey,59,M,A1,Government Employee,"87/603, Pathak Circle, Yadgir, Karnataka",,,False
37,3562,Timothy Behl,69,M,A2,Contractor,"H.No. 82, Sarma Road, Yadgir, Karnataka",,,False
38,3441,Divya Balakrishnan,39,F,A1,Shopkeeper,"24/808, Chander Marg, Bengaluru Urban, Karnataka",,,False
39,4088,Dakshesh Shenoy,69,M,A1,Auto Driver,"27/484, Subramanian Marg, Chikkamagaluru, Karnataka",,,False
40,2660,Jairaj Shan,52,M,A1,Delivery Agent,"39, Deshpande Circle, Koppal, Karnataka",,,False
41,4012,Lakshit Sachdeva,56,M,A1,Security Guard,"40/44
Suri, Mysuru, Karnataka",,,False
42,3513,Vansha Yohannan,57,F,A1,Security Guard,"H.No. 58
Purohit Circle, Chitradurga, Karnataka",,,False
43,2453,Naveen Gulati,28,M,A1,Unemployed,"63/60, Solanki Path, Ramanagara, Karnataka",,,False
44,2453,Jagat Gaba,28,M,A2,Unskilled Worker,"27
Date Nagar, Ramanagara, Karnataka",CP00112,,True
45,2453,Chandresh Sarraf,22,M,A3,Student,"70/26, Borde Street, Ramanagara, Karnataka",,,False
46,2453,Kevin Nigam,41,M,A4,Contractor,"15/865
Banik Chowk, Ramanagara, Karnataka",,,False
47,2672,Jacob Mani,41,M,A1,Contractor,"16/117, Mistry Street, Shivamogga, Karnataka",,,False
48,2775,Chatura Kothari,49,M,A1,Mechanic,"H.No. 504, Prasad Path, Uttara Kannada, Karnataka",CP00066,,True
49,3139,Elijah Konda,42,M,A1,Farmer,"22/21
Raja, Ballari, Karnataka",,,False
50,2181,Widisha Dhar,36,T,A1,Self-Employed,"47, Andra Road, Uttara Kannada, Karnataka",,,False
51,214,Chakradev Batta,19,M,A1,Unskilled Worker,"H.No. 82
Sathe Zila, Belagavi, Karnataka",CP00032,GNG0007,True
52,2896,Mason Samra,63,M,A1,Auto Driver,"43
Subramanian Marg, Uttara Kannada, Karnataka",,,False
53,2896,Jagat Raj,36,M,A2,Delivery Agent,"44/06
Anand Road, Uttara Kannada, Karnataka",,,False
54,2257,Yuvraj Mangat,50,M,A1,Student,"53/39, Devan Road, Belagavi, Karnataka",,,False
55,2257,Anmol More,30,M,A2,Private Employee,"H.No. 952
Merchant Zila, Belagavi, Karnataka",,,False
56,2027,Sarthak Gill,47,M,A1,Private Employee,"858, Mahajan Circle, Kalaburagi, Karnataka",,,False
57,211,Aarini Subramaniam,64,T,A1,Self-Employed,"51/712
Ranganathan Ganj, Uttara Kannada, Karnataka",,,False
58,585,Chakradev Rana,46,M,A1,Unskilled Worker,"H.No. 81, Pillay Chowk, Chikballapur, Karnataka",,,False
59,585,Liam Sunder,29,M,A2,Contractor,"65/13
Bakshi Chowk, Tumakuru, Karnataka",CP00059,GNG0002,True
60,3638,Indrajit Bhatnagar,26,M,A1,Security Guard,"46/120
Modi Nagar, Tumakuru, Karnataka",,,False
61,3795,Dalbir Chatterjee,63,M,A1,Student,"26/75, Saini Circle, Belagavi, Karnataka",,,False
62,3795,Sarthak Chaudhary,51,M,A2,Delivery Agent,"64/05
Sawhney Ganj, Belagavi, Karnataka",,,False
63,3795,Jacob Patil,34,M,A3,Construction Worker,"58/506, Gupta Road, Belagavi, Karnataka",,,False
64,1976,Ishwar Kannan,49,M,A1,Auto Driver,"13, Bail, Raichur, Karnataka",CP00055,,True
65,3942,Ojas Kohli,60,M,A1,Government Employee,"31/83, Kalita, Chikballapur, Karnataka",,,False
66,4699,Nitesh Divan,20,M,A1,Mechanic,"H.No. 22, Krishna Circle, Dharwad, Karnataka",,,False
67,4260,Christopher Bal,58,M,A1,Delivery Agent,"H.No. 539, Babu Path, Tumakuru, Karnataka",,,False
68,4260,Kevin Ben,37,M,A2,Self-Employed,"68/117, Pathak Chowk, Tumakuru, Karnataka",,,False
69,4258,Upkaar Thakur,28,M,A1,Unskilled Worker,"08/47, Bhat Nagar, Chitradurga, Karnataka",,,False
70,4258,Sai Sandhu,47,M,A2,Construction Worker,"71, Nagy Zila, Chitradurga, Karnataka",,,False
71,3759,Bachittar Date,40,M,A1,Vendor,"98/56
Wali, Uttara Kannada, Karnataka",,,False
72,2342,Utkarsh Tiwari,35,M,A1,Unskilled Worker,"H.No. 183
Seth Marg, Bengaluru Rural, Karnataka",,,False
73,4397,Samuel Nori,57,M,A1,Security Guard,"61
Sane Path, Belagavi, Karnataka",,,False
74,189,Warjas Ray,14,M,A1,Student,"45/271
Chada Zila, Kodagu, Karnataka",CP00061,,True
75,189,Tarak Char,50,M,A2,Unskilled Worker,"809
Narayan Circle, Kodagu, Karnataka",,,False
76,189,Samesh Pandya,37,M,A3,Self-Employed,"04/945
Tripathi Zila, Kodagu, Karnataka",,,False
77,2871,Faras Subramaniam,40,M,A1,Daily Wage Labourer,"H.No. 585, Mallick Zila, Koppal, Karnataka",,,False
78,4125,Tanish Bal,45,M,A1,Private Employee,"H.No. 244
Panchal Path, Uttara Kannada, Karnataka",,,False
79,4125,Gautam Dhar,64,M,A2,Contractor,"H.No. 201
Kale Circle, Uttara Kannada, Karnataka",,,False
80,4125,Shaurya Setty,41,M,A3,Daily Wage Labourer,"545
Chad, Uttara Kannada, Karnataka",,,False
81,4183,Faras Dugar,22,M,A1,Vendor,"14/767, Sathe, Ramanagara, Karnataka",,,False
82,1790,Laban Kale,25,M,A1,Private Employee,"H.No. 61, Sur Road, Bengaluru Urban, Karnataka",,,False
83,1790,Aradhana Kannan,43,F,A2,Contractor,"00/34
Devan Ganj, Bengaluru Urban, Karnataka",,,False
84,4777,Maanav Narang,30,M,A1,Vendor,"H.No. 762, Rai Street, Kalaburagi, Karnataka",,,False
85,1246,Champak Chatterjee,57,M,A1,Unskilled Worker,"85/16, Sarin Nagar, Kolar, Karnataka",CP00062,,True
86,2220,Victor Brahmbhatt,43,M,A1,Delivery Agent,"69/66
Contractor Road, Haveri, Karnataka",,,False
87,3190,Advaith Nair,54,M,A1,Delivery Agent,"75/16, Kohli Zila, Bengaluru Rural, Karnataka",,,False
88,369,Sai Viswanathan,44,M,A1,Delivery Agent,"45, Nath Ganj, Dakshina Kannada, Karnataka",,,False
89,4514,Balvan Uppal,59,M,A1,Student,"83/55, Keer Street, Vijayanagara, Karnataka",,,False
90,4514,Jatin Baral,60,M,A2,Vendor,"432, Dua, Vijayanagara, Karnataka",CP00085,,True
91,2212,Gaurang Tak,19,M,A1,Unskilled Worker,"97/99
Mutti Path, Uttara Kannada, Karnataka",,,False
92,253,Thomas Bir,67,M,A1,Self-Employed,"44
Bhalla, Mysuru, Karnataka",,,False
93,2826,Nakul Rattan,44,M,A1,Self-Employed,"14/77
Bhandari Nagar, Kalaburagi, Karnataka",CP00025,,True
94,2826,Luke Bose,38,M,A2,Shopkeeper,"98/67, Barman, Kalaburagi, Karnataka",,,False
95,1649,Girindra Nagy,64,M,A1,Mechanic,"20/71
Chad Path, Haveri, Karnataka",,,False
96,3375,Anmol Kota,32,M,A1,Delivery Agent,"88
Dutt, Dharwad, Karnataka",,,False
97,4339,Quincy Mandal,53,M,A1,Mechanic,"59
Natt Nagar, Chitradurga, Karnataka",,,False
98,4339,Nitesh Chandra,54,M,A2,Vendor,"H.No. 49
Nath Street, Chitradurga, Karnataka",,,False
99,3623,Ekavir Palla,27,M,A1,Delivery Agent,"62/914
Puri Circle, Chikkamagaluru, Karnataka",,,False
100,1365,Devansh Vyas,65,M,A1,Self-Employed,"68/505, Gole Road, Kolar, Karnataka",,,False
101,404,Onkar Sunder,24,M,A1,Student,"221, Chaudhuri Road, Tumakuru, Karnataka",,,False
102,404,Om Deep,60,M,A2,Student,"229
Sarma Street, Tumakuru, Karnataka",,,False
103,3147,Samesh Patla,24,M,A1,Private Employee,"94, Kaur Chowk, Haveri, Karnataka",,,False
104,3894,Mohammed Singh,30,M,A1,Delivery Agent,"H.No. 97, Manda Chowk, Kalaburagi, Karnataka",,,False
105,3894,Zayan Wable,59,M,A2,Daily Wage Labourer,"392
Ben Road, Kalaburagi, Karnataka",,,False
106,3894,Ria Chauhan,23,F,A3,Student,"H.No. 12, Sengupta Road, Kalaburagi, Karnataka",,,False
107,3953,Tejas Chand,29,M,A1,Daily Wage Labourer,"50, Bera Marg, Ballari, Karnataka",,,False
108,3953,Yadavi Prakash,43,T,A2,Self-Employed,"15, Bala Ganj, Ballari, Karnataka",,,False
109,1945,Chandran Nayak,37,M,A1,Farmer,"047, Singh Street, Vijayapura, Karnataka",,,False
110,1945,Aahana Buch,39,F,A2,Delivery Agent,"H.No. 32, Wable Circle, Vijayapura, Karnataka",,,False
111,1125,Christopher Mani,50,M,A1,Unskilled Worker,"H.No. 10, Saini Ganj, Haveri, Karnataka",,,False
112,1125,Azad Choudhry,69,M,A2,Farmer,"80/89
Dhawan Ganj, Haveri, Karnataka",,,False
113,107,Tanish Agarwal,39,M,A1,Delivery Agent,"962
Viswanathan Zila, Hassan, Karnataka",,,False
114,107,Bahadurjit Vora,66,M,A2,Construction Worker,"70, Prakash Marg, Hassan, Karnataka",,,False
115,2475,Abhiram Parikh,26,M,A1,Self-Employed,"H.No. 31, Natarajan, Chikballapur, Karnataka",,,False
116,2475,Anthony Pandey,33,M,A2,Unemployed,"27/722
Shankar Zila, Chikballapur, Karnataka",,,False
117,2475,Bakhshi Mallick,14,M,A3,Student,"H.No. 30, Barman Ganj, Chikballapur, Karnataka",CP00121,,True
118,4390,Mohammed Varma,18,M,A1,Mechanic,"74/03
Parikh Road, Bengaluru Urban, Karnataka",,,False
119,4390,Noah Mahajan,62,M,A2,Student,"H.No. 66, Raju Chowk, Bengaluru Urban, Karnataka",,,False
120,4659,Girik Taneja,63,M,A1,Delivery Agent,"H.No. 84
Samra Zila, Mysuru, Karnataka",,,False
121,390,Tanveer Gole,26,M,A1,Self-Employed,"H.No. 11
Merchant Path, Dakshina Kannada, Karnataka",,,False
122,390,Udant Sandhu,65,M,A2,Contractor,"75/705, Saran, Dakshina Kannada, Karnataka",,,False
123,1910,Ayush Borde,60,M,A1,Construction Worker,"H.No. 82
Dhar Nagar, Bagalkot, Karnataka",,,False
124,890,Anay Date,51,M,A1,Contractor,"556, Bali, Bengaluru Urban, Karnataka",,,False
125,890,Umang Prabhakar,54,M,A2,Farmer,"19
Wagle Street, Bengaluru Urban, Karnataka",,,False
126,1908,Rushil Murthy,38,M,A1,Unskilled Worker,"102
Vasa Chowk, Gadag, Karnataka",,,False
127,1,Farhan Sarma,60,M,A1,Daily Wage Labourer,"14/47
Mangal Ganj, Shivamogga, Karnataka",CP00095,,True
128,2852,Harish Das,47,M,A1,Delivery Agent,"H.No. 727, Nagarajan Zila, Bengaluru Urban, Karnataka",,,False
129,2080,Bachittar Mannan,55,M,A1,Auto Driver,"258
Dara Ganj, Mysuru, Karnataka",,,False
130,4644,Ekiya Khalsa,22,F,A1,Self-Employed,"H.No. 589
Sibal Path, Bagalkot, Karnataka",,,False
131,2221,Caleb Bhatti,44,M,A1,Contractor,"78
Rout Marg, Belagavi, Karnataka",,,False
132,2221,Jeremiah Nadig,42,T,A2,Unskilled Worker,"78, Dave Path, Belagavi, Karnataka",,,False
133,835,Dhruv Sant,59,M,A1,Contractor,"H.No. 824, Edwin Street, Chamarajanagar, Karnataka",,,False
134,835,Isaiah Pal,52,M,A2,Vendor,"H.No. 438
Dass Road, Chamarajanagar, Karnataka",,,False
135,835,Chakradhar Thakkar,64,M,A3,Student,"92/29, Nazareth, Chamarajanagar, Karnataka",,,False
136,400,Akshay Bumb,45,M,A1,Vendor,"94/396, Balasubramanian, Dakshina Kannada, Karnataka",,,False
137,400,Maanav Mittal,33,M,A2,Unskilled Worker,"647
Bhasin Zila, Dakshina Kannada, Karnataka",,,False
138,2631,Thomas Sagar,25,M,A1,Daily Wage Labourer,"35
Dhawan, Chitradurga, Karnataka",,,False
139,125,Nathaniel Pai,19,M,A1,Student,"588
Nagar Zila, Mandya, Karnataka",,,False
140,3884,Qabil Baral,27,M,A1,Daily Wage Labourer,"14, Kota Chowk, Chitradurga, Karnataka",CP00109,,True
141,874,Chanakya Bedi,66,M,A1,Daily Wage Labourer,"96
Dutta Ganj, Bidar, Karnataka",,,False
142,3654,Naksh Gupta,54,M,A1,Government Employee,"87, Morar Chowk, Uttara Kannada, Karnataka",,,False
143,2312,Advay Chana,53,M,A1,Shopkeeper,"73/39
Bava Path, Bengaluru Rural, Karnataka",,,False
144,2312,Lohit Talwar,45,M,A2,Self-Employed,"H.No. 80
Sankar Zila, Bengaluru Rural, Karnataka",,,False
145,2312,Kevin Pau,40,M,A3,Vendor,"H.No. 06
Hayer Nagar, Bengaluru Rural, Karnataka",,,False
146,1144,Maanas Borah,42,M,A1,Shopkeeper,"78/49
Dani, Kalaburagi, Karnataka",,,False
147,454,Chanakya Ramesh,63,M,A1,Private Employee,"H.No. 85
Issac Street, Dharwad, Karnataka",,,False
148,4288,Zashil Baria,33,M,A1,Mechanic,"H.No. 257, Shan Circle, Haveri, Karnataka",,,False
149,4288,Ekaraj Narang,59,M,A2,Auto Driver,"694
Nayar, Haveri, Karnataka",,,False
150,4288,Netra Soman,41,F,A3,Auto Driver,"H.No. 51, Morar Marg, Haveri, Karnataka",,,False
151,1748,Charita Khalsa,57,F,A1,Auto Driver,"74/99, Behl Ganj, Ramanagara, Karnataka",CP00072,,True
152,1748,Frederick Viswanathan,66,M,A2,Construction Worker,"309
Halder Zila, Ramanagara, Karnataka",,,False
153,1315,Urvi Murthy,25,F,A1,Self-Employed,"636
Sinha Circle, Shivamogga, Karnataka",,,False
154,1315,Ekantika Venkataraman,62,F,A2,Construction Worker,"57/86, Ghose Path, Shivamogga, Karnataka",,,False
155,1315,Abdul Contractor,30,M,A3,Student,"58/54
Sule, Shivamogga, Karnataka",CP00036,,True
156,1742,Jatin Mallick,34,M,A1,Contractor,"443
Nadig Chowk, Dharwad, Karnataka",,,False
157,1742,Owen Mahal,49,M,A2,Unskilled Worker,"H.No. 986
Pai Marg, Dharwad, Karnataka",,,False
158,4408,Mohini Basak,41,F,A1,Government Employee,"15/747
Jaggi Ganj, Tumakuru, Karnataka",,,False
159,1161,Laban Devan,34,M,A1,Security Guard,"93/30, Kara Circle, Chamarajanagar, Karnataka",,,False
160,4798,Atharv Chaudhry,33,M,A1,Self-Employed,"H.No. 71
Ahluwalia Street, Uttara Kannada, Karnataka",,,False
161,1188,Samar Soni,65,M,A1,Self-Employed,"34/540
Kata Zila, Mandya, Karnataka",,,False
162,1188,Gagan Sahni,64,M,A2,Contractor,"H.No. 672, Barad Road, Mandya, Karnataka",,,False
163,1188,Manthan Chhabra,64,M,A3,Self-Employed,"H.No. 78
Tak Circle, Mandya, Karnataka",,,False
164,313,Zayyan Sidhu,22,M,A1,Daily Wage Labourer,"152
Kurian Chowk, Ballari, Karnataka",,,False
165,313,Abhimanyu Nazareth,44,M,A2,Private Employee,"32/96
Varma Marg, Ballari, Karnataka",,,False
166,313,Caleb Rattan,32,M,A3,Auto Driver,"275, Ahuja Ganj, Ballari, Karnataka",,,False
167,1128,Rehaan Keer,57,M,A1,Self-Employed,"H.No. 54
Apte, Yadgir, Karnataka",,,False
168,2945,Pranit Keer,19,M,A1,Mechanic,"17/426, Mukhopadhyay Circle, Kodagu, Karnataka",,,False
169,765,Manbir Pillai,45,M,A1,Shopkeeper,"272, Prakash Chowk, Kalaburagi, Karnataka",,,False
170,1456,Warinder Yogi,43,M,A1,Auto Driver,"918, Wable Chowk, Mandya, Karnataka",,,False
171,3941,Faras Choudhury,32,T,A1,Delivery Agent,"83/98, Gala Street, Raichur, Karnataka",,,False
172,4879,Timothy Dada,23,M,A1,Vendor,"97/187, Setty Nagar, Chamarajanagar, Karnataka",,,False
173,4879,Sarthak Shan,53,M,A2,Self-Employed,"74/06, Aggarwal Road, Chamarajanagar, Karnataka",,,False
174,4237,Balhaar Bath,24,M,A1,Daily Wage Labourer,"H.No. 18
Biswas Nagar, Davanagere, Karnataka",,,False
175,2262,Anamika Mangat,61,F,A1,Mechanic,"265
Sen Marg, Bengaluru Urban, Karnataka",,,False
176,2262,Raghav Buch,54,M,A2,Daily Wage Labourer,"51/286, Datta Circle, Bengaluru Urban, Karnataka",,,False
177,2262,Aarav Bajaj,38,M,A3,Unemployed,"86
Raghavan Circle, Bengaluru Urban, Karnataka",,,False
178,2654,Jatin Sharma,43,M,A1,Auto Driver,"431
Saini Nagar, Belagavi, Karnataka",,,False
179,1468,Jai Jhaveri,61,M,A1,Government Employee,"H.No. 907, Bava, Ballari, Karnataka",,,False
180,3493,Anthony Ratti,65,M,A1,Contractor,"830
Thakur Street, Bidar, Karnataka",,,False
181,3493,Jackson Nagar,45,M,A2,Student,"428
Sachdev Ganj, Bidar, Karnataka",,,False
182,3888,Mahika Bhat,43,F,A1,Government Employee,"68/705, Vohra Marg, Koppal, Karnataka",,,False
183,1925,Sathvik Rege,23,M,A1,Delivery Agent,"H.No. 62, Solanki Circle, Yadgir, Karnataka",,,False
184,1925,Isaiah Mital,63,M,A2,Auto Driver,"08, Saha Marg, Yadgir, Karnataka",,,False
185,1925,Rishi Kibe,27,M,A3,Vendor,"517
Chanda Path, Yadgir, Karnataka",,,False
186,1925,Atharv Loyal,58,M,A4,Private Employee,"99/013
Kalla, Yadgir, Karnataka",,,False
187,1925,Hemang Natarajan,38,M,A5,Contractor,"H.No. 331
Kibe Chowk, Yadgir, Karnataka",,,False
188,600,Rushil Khatri,29,M,A1,Security Guard,"H.No. 67
Parmer Circle, Vijayanagara, Karnataka",,,False
189,4178,Kalpit Parsa,40,M,A1,Auto Driver,"17
Jani Path, Raichur, Karnataka",,,False
190,502,Naksh Sachdev,23,M,A1,Student,"32/04, Sahni Circle, Gadag, Karnataka",,,False
191,502,Ikbal Bhardwaj,63,M,A2,Shopkeeper,"353
Korpal Marg, Gadag, Karnataka",CP00079,,True
192,2591,Om Kurian,27,M,A1,Auto Driver,"77/252
Suresh Street, Belagavi, Karnataka",,,False
193,4231,Ayushman Viswanathan,33,M,A1,Self-Employed,"H.No. 006, Kashyap Street, Chikballapur, Karnataka",,,False
194,2421,Liam Sunder,29,M,A1,Vendor,"20/387, Bhasin Path, Tumakuru, Karnataka",CP00059,GNG0002,True
195,4890,Yagnesh Babu,59,M,A1,Private Employee,"86/00, Maharaj Circle, Ballari, Karnataka",,,False
196,2103,Abhiram Thakkar,29,M,A1,Vendor,"118
Khosla Street, Uttara Kannada, Karnataka",,,False
197,1733,Jonathan Pandya,54,M,A1,Student,"15
Sharaf Marg, Mysuru, Karnataka",,,False
198,84,Isaiah Mital,54,M,A1,Construction Worker,"01/666, Soni Circle, Vijayapura, Karnataka",,,False
199,4078,Aayush Garg,64,M,A1,Unskilled Worker,"65, Chandran, Ballari, Karnataka",,,False
200,2846,Ishwar Kakar,22,M,A1,Security Guard,"H.No. 01
Bali Road, Chikkamagaluru, Karnataka",,,False
201,4897,Nakul Babu,27,M,A1,Security Guard,"26/14, Khosla Street, Ramanagara, Karnataka",,,False
202,4535,Noah Rajagopalan,43,M,A1,Security Guard,"18/501, Kata Marg, Chamarajanagar, Karnataka",,,False
203,2293,Onkar Ranganathan,58,M,A1,Auto Driver,"H.No. 477
Parekh Ganj, Bengaluru Urban, Karnataka",,,False
204,2293,Tarak Grewal,33,M,A2,Contractor,"H.No. 943
Butala Zila, Bengaluru Urban, Karnataka",,,False
205,628,Faraj Rai,66,M,A1,Government Employee,"65/511, Morar Nagar, Chikkamagaluru, Karnataka",,,False
206,1428,Nachiket Rastogi,14,M,A1,Student,"H.No. 41
Chahal Street, Bengaluru Urban, Karnataka",CP00051,,True
207,1766,Tanveer Sen,41,M,A1,Vendor,"H.No. 015
Chander Circle, Chikkamagaluru, Karnataka",,,False
208,4776,Reyansh Arora,36,M,A1,Security Guard,"61
Kibe Circle, Bengaluru Urban, Karnataka",,,False
209,4776,Udarsh Mall,32,M,A2,Auto Driver,"62/244, Tailor Road, Bengaluru Urban, Karnataka",CP00007,,True
210,2382,Azad Ganesh,31,M,A1,Self-Employed,"H.No. 64
Bose Chowk, Uttara Kannada, Karnataka",,,False
211,4502,Jeremiah Koshy,22,M,A1,Delivery Agent,"93/71
Modi Street, Hassan, Karnataka",,,False
212,4548,Rudra Natarajan,69,M,A1,Shopkeeper,"H.No. 75
Deshpande Marg, Udupi, Karnataka",,,False
213,4797,Naveen Iyer,45,M,A1,Unskilled Worker,"H.No. 26
Manne Path, Davanagere, Karnataka",,,False
214,4797,Jairaj Nanda,43,M,A2,Shopkeeper,"H.No. 65
Iyengar Zila, Davanagere, Karnataka",,,False
215,4638,Agastya Shenoy,46,M,A1,Security Guard,"41, Tata Marg, Bengaluru Urban, Karnataka",,,False
216,4638,Max Khurana,63,M,A2,Construction Worker,"26/617
Srinivas, Bengaluru Urban, Karnataka",,,False
217,1702,Zehaan Sahota,52,M,A1,Shopkeeper,"H.No. 89, Chopra Zila, Dakshina Kannada, Karnataka",,,False
218,1702,Raagini Kadakia,51,F,A2,Construction Worker,"52/909, Narula Marg, Dakshina Kannada, Karnataka",CP00020,,True
219,3304,Chatresh Anne,58,M,A1,Government Employee,"H.No. 38, Kant Circle, Davanagere, Karnataka",,,False
220,1892,Rachit Raman,47,M,A1,Shopkeeper,"98/250
Cheema Chowk, Hassan, Karnataka",,,False
221,4815,Sarthak Chada,26,M,A1,Government Employee,"25/457, Verma Ganj, Gadag, Karnataka",,,False
222,4815,Owen Soni,37,M,A2,Farmer,"75, Mital Zila, Gadag, Karnataka",,,False
223,3940,Dakshesh Bajaj,42,M,A1,Security Guard,"12/382
Dutta Circle, Uttara Kannada, Karnataka",,,False
224,3940,Tanay Shere,58,M,A2,Shopkeeper,"22, Randhawa Marg, Uttara Kannada, Karnataka",,,False
225,1614,Azaan Rau,14,M,A1,Student,"93/796, Agrawal Marg, Chamarajanagar, Karnataka",CP00065,,True
226,3690,Harshil Mallick,53,M,A1,Self-Employed,"18/25, Hegde Path, Chikballapur, Karnataka",,,False
227,3690,Dakshesh Lala,49,M,A2,Security Guard,"59/69
Comar Marg, Chikballapur, Karnataka",,,False
228,3690,Patrick Shankar,46,M,A3,Self-Employed,"49/912, Dalal Path, Chikballapur, Karnataka",,,False
229,3093,Michael Dada,28,M,A1,Unskilled Worker,"H.No. 28, Sahota Marg, Bagalkot, Karnataka",,,False
230,3093,Bakhshi Walia,31,M,A2,Self-Employed,"66/27, Ghose Circle, Bagalkot, Karnataka",CP00047,,True
231,4856,Darsh Shan,19,M,A1,Unskilled Worker,"42, Murty Street, Bengaluru Urban, Karnataka",CP00150,,True
232,833,Jack Rajagopal,59,M,A1,Auto Driver,"05/07
Hayer Street, Vijayanagara, Karnataka",CP00160,,True
233,833,Zayyan Talwar,25,M,A2,Student,"76/772
Balasubramanian Zila, Vijayanagara, Karnataka",,,False
234,833,Madhav Bali,65,M,A3,Contractor,"842
Tandon Chowk, Vijayanagara, Karnataka",,,False
235,833,Dakshesh Loyal,57,M,A4,Security Guard,"07/83
Chaudry Marg, Vijayanagara, Karnataka",,,False
236,717,Samar Sunder,65,M,A1,Shopkeeper,"H.No. 07, Pall Road, Chamarajanagar, Karnataka",CP00073,,True
237,3141,Theodore Dalal,61,M,A1,Farmer,"959, Gandhi Marg, Chikkamagaluru, Karnataka",,,False
238,3141,Harshil Jhaveri,66,M,A2,Security Guard,"58/49, Ganguly Circle, Chikkamagaluru, Karnataka",,,False
